Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
108,29,9,34,7,Some Random Commen with Id 108
109,29,9,97,9,Some Random Commen with Id 109
110,30,1,165,4,Some Random Commen with Id 110
111,31,0,104,2,Some Random Commen with Id 111
112,31,0,122,0,Some Random Commen with Id 112
113,31,0,96,7,Some Random Commen with Id 113
114,31,0,124,6,Some Random Commen with Id 114
115,31,0,148,4,Some Random Commen with Id 115
116,31,0,91,8,Some Random Commen with Id 116
117,32,9,39,9,Some Random Commen with Id 117
118,32,9,108,8,Some Random Commen with Id 118
119,32,9,165,1,Some Random Commen with Id 119
120,32,9,66,8,Some Random Commen with Id 120
121,32,9,64,9,Some Random Commen with Id 121
122,32,9,7,0,Some Random Commen with Id 122
123,33,5,194,8,Some Random Commen with Id 123
124,33,5,63,6,Some Random Commen with Id 124
125,33,5,146,0,Some Random Commen with Id 125
126,33,5,75,5,Some Random Commen with Id 126
127,33,5,159,0,Some Random Commen with Id 127
128,33,5,49,8,Some Random Commen with Id 128
129,34,6,48,1,Some Random Commen with Id 129
130,34,6,186,3,Some Random Commen with Id 130
131,34,6,165,4,Some Random Commen with Id 131
132,34,6,65,3,Some Random Commen with Id 132
133,35,8,22,5,Some Random Commen with Id 133
134,36,1,21,5,Some Random Commen with Id 134
135,37,9,130,4,Some Random Commen with Id 135
136,37,9,84,7,Some Random Commen with Id 136
137,37,9,184,7,Some Random Commen with Id 137
138,38,7,173,0,Some Random Commen with Id 138
139,38,7,199,5,Some Random Commen with Id 139
140,38,7,166,4,Some Random Commen with Id 140
141,38,7,84,2,Some Random Commen with Id 141
142,39,0,95,0,Some Random Commen with Id 142
143,39,0,197,0,Some Random Commen with Id 143
144,39,0,94,2,Some Random Commen with Id 144
145,39,0,108,0,Some Random Commen with Id 145
146,39,0,111,1,Some Random Commen with Id 146
147,39,0,119,9,Some Random Commen with Id 147
